frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
606,88.4,0.3902,0.884,105.35,424.33,39,7,31,7,19,20
607,88.467,0.3704,0.8843,100.02,424.47,40,8,32,8,20,20
608,88.533,0.3535,0.8837,95.44,424.16,44,12,32,12,24,20
609,88.6,0.3363,0.8845,90.81,424.55,41,12,29,12,22,19
610,88.667,0.3167,0.8836,85.5,424.14,47,12,35,12,28,19
611,88.733,0.2999,0.8843,80.98,424.47,36,8,28,8,18,18
612,88.8,0.2802,0.884,75.65,424.33,40,6,34,6,21,19
613,88.867,0.272,0.8835,73.44,424.07,43,7,34,7,24,19
614,88.933,0.272,0.8835,73.44,424.07,44,8,34,8,25,19
615,89,0.272,0.8835,73.44,424.07,42,7,32,7,23,19
616,89.067,0.272,0.8835,73.44,424.07,39,11,27,11,20,19
617,89.133,0.272,0.8835,73.44,424.07,32,8,24,8,12,20
618,89.2,0.272,0.8835,73.44,424.07,40,11,29,11,18,22
619,89.267,0.272,0.8835,73.44,424.07,33,6,27,6,12,21
620,89.333,0.272,0.8835,73.44,424.07,38,7,30,7,17,21
621,89.4,0.2555,0.8843,68.98,424.47,44,9,35,9,23,21
622,89.467,0.2357,0.8838,63.65,424.24,36,8,28,8,14,22
623,89.533,0.2278,0.8836,61.5,424.14,37,9,27,9,16,21
624,89.6,0.2278,0.8836,61.5,424.14,42,12,30,12,21,21
625,89.667,0.2278,0.8836,61.5,424.14,42,10,32,10,21,21
626,89.733,0.2278,0.8836,61.5,424.14,44,10,34,10,23,21
627,89.8,0.2278,0.8836,61.5,424.14,35,6,29,6,15,20
628,89.867,0.2278,0.8836,61.5,424.14,38,9,29,9,19,19
629,89.933,0.2278,0.8836,61.5,424.14,42,10,31,10,22,20
